LOAD/STORE,SIMD,Frecuencia (MHz),BW read,BW write,Avr. Write Burst,Avr. Read Burst,Stall Read (%),Stall Write (%),Time (ms),Type of memory,LD units,width LD,ST Units,Width Units,Latency,BW (MB/S)
1,2,475,0,"603,4",1,1,0,"75,2","151,88",Write-ack,0,32,2,32,,"11954,8"
1,4,450,0,"392,8",1,1,0,"86,8","153,75",Write-ack,0,32,4,32,,"11953,5"
1,8,"443,8",0,"171,9",1,1,0,"93,13","152,64",Write-ack,0,32,8,32,,"12046,1"
1,16,"458,3",0,"852,3",1,1,0,"96,51","152,71",Write-ack,0,32,16,32,,"12023,4"
2,2,405,"1827,9","1827,9",1,1,"92,17","13,83","564,95",Write-ack,2,32,2,32,,"7020,7"
2,4,475,"1316,4","1316,4",1,1,"95,73","9,78","396,1",Write-ack,4,32,4,32,,"9892,4"
2,8,"437,5","607,8","607,8",1,1,"97,86",8,"428,81",Write-ack,8,32,8,32,,"9162,2"
2,16,"387,5","295,3","295,3",1,1,"98,79","5,8","441,09",Write-ack,16,32,16,32,,"9008,4"
3,2,415,"1553,3",1560,1,1,"94,19","11,18","664,72",Write-ack,4,32,2,32,,9013
3,4,"412,5","885,2","885,2",1,1,"96,76","9,68","588,93",Write-ack,8,32,4,32,,"10232,4"
3,8,"362,5","404,3","404,3",1,1,"97,73",7,"641,4",Write-ack,16,32,8,32,,"9425,2"
3,16,"387,5","211,3","211,3",1,1,"95,77","4,6","615,81",Write-ack,32,32,16,32,,"9830,9"
4,2,"441,7","954,6",958,1,1,"81,47",3,1080,Write-ack,6,32,2,32,,"7490,3"
4,4,"437,5","676,9","675,5",1,1,"55,08",3,770,Write-ack,12,32,4,32,,"10502,2"
4,8,"362,5",313,310,1,1,"52,04",3,"834,66",Write-ack,24,32,8,32,,"9734,7"
4,16,360,173,,1,1,"88,4","1,98","749,99",Write-ack,48,32,16,32,,"10859,7"
5,2,370,"754,4","757,4",1,1,"87,21",3,1370,Write-ack,8,32,2,32,,"7443,3"
5,4,"358,3",535,"533,9",1,1,"50,79",3,"974,57",Write-ack,16,32,4,32,,"10483,5"
5,8,"366,7","259,2","257,3",1,1,"93,59",3,1010,Write-ack,32,32,8,32,,"10121,2"
5,16,"354,2","146,3","146,3",1,1,"75,16",3,"889,38",Write-ack,64,32,16,32,,"11506,2"
6,2,"441,7","728,5","731,3",1,1,"93,9",3,1420,Write-ack,10,32,2,32,,"8614,4"
6,4,"383,3","426,8",426,1,1,"52,14",3,1220,Write-ack,20,32,4,32,,"10059,4"
6,8,375,"222,9","222,9",1,1,"91,19",3,1170,Write-ack,40,32,8,32,,"10472,5"
6,16,"352,5","126,9","126,9",1,1,"80,91",3,1030,Write-ack,80,32,16,32,,"12042,7"
