LOAD/STORE,SIMD,Frequency (MHz),BW read,BW write,Avr. Write Burst,Avr. Read Burst,Stall Read (%),Stall Write (%),Time (ms),Type of memory,LD units,Width LD,ST Units,Width Units,Latency,BW (MB/s)
1,2,475,0,3800,0,16,0,"0,57","34,56",Coalesced,0,0,1,64,108,3800
1,4,460,0,"7586,7",0,15,"0,37","2,45","17,33",Coalesced,0,0,1,128,108,"7586,7"
1,8,445,0,"12672,4",0,15,"49,41","2,45","9,27",Coalesced,0,0,1,256,108,"12672,4"
1,16,"468,8",0,12556,0,15,"52,54","2,45","9,3",Coalesced,0,0,1,512,108,12556
2,2,475,4274,3799,15,6,1,"2,45","34,56",Coalesced,1,64,1,64,645,"7585,19"
2,4,470,5972,5811,15,13,"1,21","2,45","21,71",Coalesced,1,128,1,128,645,"12074,8"
2,8,460,6807,6807,15,17,2,"2,45","19,52",Coalesced,1,256,1,256,645,"13429,51"
2,16,"466,7",7007,7007,15,18,"1,47","2,96","18,37",Coalesced,1,512,1,512,645,"14270,22"
3,2,"462,5","3075,7","2798,1",12,6,"3,18","1,6","48,02",Coalesced,2,64,1,64,650,8722
3,4,"441,7","3779,3","3779,3",15,12,"2,23","1,73","35,84",Coalesced,2,128,1,128,650,"10942,2"
3,8,"483,3","3952,2","3952,2",15,17,2,"1,62","33,26",Coalesced,2,256,1,256,650,"11377,3"
3,16,"458,3","3946,9","3946,9",15,18,"2,11","1,72","33,27",Coalesced,2,512,1,512,650,11347
4,2,"462,5","2104,4",1974,9,7,"3,56","1,5","70,14",Coalesced,3,64,1,64,650,"8134,1"
4,4,475,"2729,3","2729,3",15,12,"2,45","1,27","49,63",Coalesced,3,128,1,128,650,"10582,8"
4,8,395,"2782,7","2782,7",15,17,"2,76","1,4","47,18",Coalesced,3,256,1,256,650,"10804,6"
4,16,"437,5","2800,7","2800,7",15,18,"2,56","1,29","46,9",Coalesced,3,512,1,512,650,"10852,1"
5,2,450,"1636,9","1549,9",8,7,"5,52","1,3","90,16",Coalesced,4,64,1,64,650,7969
5,4,400,"2163,3","2162,5",15,12,"5,54","1,09","63,56",Coalesced,4,128,1,128,650,"10584,7"
5,8,425,"2169,2","2169,2",15,18,"4,02","1,01","60,5",Coalesced,4,256,1,256,650,"10575,7"
5,16,460,"2174,3","2174,3",15,18,"3,7","1,5","60,36",Coalesced,4,512,1,512,650,10580
